time_utc,valid,latitude,longitude,speed_knots,distance_from_prev_m
120000,True,36.48,127.29,10.0,0.0
120010,True,36.48005,127.29006666666666,10.1,8.15
120020,True,36.4801,127.29013333333333,10.2,8.15
120030,True,36.48015,127.2902,10.3,8.15
120040,True,36.4802,127.29026666666667,10.4,8.15
120050,True,36.48025,127.29033333333334,10.5,8.15
120060,True,36.4803,127.2904,10.6,8.15
120070,True,36.48035,127.29046666666666,10.7,8.15
120080,True,36.4804,127.29053333333333,10.8,8.15
120090,True,36.48045,127.2906,10.9,8.15
120100,True,36.4805,127.29066666666667,11.0,8.15
120110,True,36.48055,127.29073333333334,11.1,8.15
120120,False,,,11.2,0.0
120130,False,,,11.3,0.0
120140,True,36.4807,127.29093333333333,11.4,24.45
120150,True,36.48075,127.291,11.5,8.15
120160,True,36.4808,127.29106666666667,11.6,8.15
120170,True,36.48085,127.29113333333333,11.7,8.15
120180,True,36.4809,127.2912,11.8,8.15
120190,True,36.48095,127.29126666666667,11.9,8.15
120200,True,36.481,127.29133333333333,12.0,8.15
120210,True,36.48105,127.2914,12.1,8.15
120220,True,36.4811,127.29146666666666,12.2,8.15
120230,True,36.48115,127.29153333333333,12.3,8.15
120240,True,36.4812,127.2916,12.4,8.15
120250,True,36.48125,127.29166666666667,12.5,8.15
120260,True,36.4813,127.29173333333334,12.6,8.15
120270,True,36.48135,127.2918,12.7,8.15
120280,True,36.4814,127.29186666666666,12.8,8.15
120290,True,36.48145,127.29193333333333,12.9,8.15
