device_id,temperature_c,voltage_v,current_a,status,health
FDU01,59.3,12.2,1.1,OK,NORMAL
FDU01,52.5,12.17,1.34,OK,NORMAL
FDU01,41.4,12.15,1.44,OK,NORMAL
FDU01,51.2,12.12,1.72,OK,NORMAL
FDU01,46.2,12.1,1.1,OK,NORMAL
FDU01,58.1,12.07,1.34,OK,NORMAL
FDU01,46.0,12.05,1.04,OK,NORMAL
FDU01,41.1,12.02,1.53,OK,NORMAL
FDU01,52.8,12.0,1.75,OK,NORMAL
FDU01,46.5,11.97,1.77,OK,NORMAL
FDU01,51.7,11.95,1.41,OK,NORMAL
FDU01,46.9,11.92,1.48,OK,NORMAL
FDU01,56.2,11.9,1.35,OK,NORMAL
FDU01,56.1,11.88,1.52,OK,NORMAL
FDU01,52.4,11.85,1.8,OK,NORMAL
FDU01,44.2,11.82,1.75,OK,NORMAL
FDU01,47.1,11.8,1.55,OK,NORMAL
FDU01,55.2,11.77,1.03,OK,NORMAL
FDU01,43.1,11.75,1.68,OK,NORMAL
FDU01,48.1,11.72,1.69,OK,NORMAL
FDU01,86.6,11.7,1.71,WARN,CRITICAL
FDU01,86.8,11.67,1.05,WARN,CRITICAL
FDU01,87.4,11.65,1.48,WARN,CRITICAL
FDU01,41.4,11.62,1.08,OK,NORMAL
FDU01,45.1,11.6,1.24,OK,NORMAL
FDU01,49.8,11.57,1.34,OK,NORMAL
FDU01,53.3,11.55,1.47,OK,NORMAL
FDU01,58.3,11.52,1.42,OK,NORMAL
FDU01,42.3,11.5,1.23,OK,NORMAL
FDU01,42.1,11.47,1.37,OK,NORMAL
FDU01,52.1,11.45,1.32,OK,NORMAL
FDU01,43.3,11.42,1.49,OK,NORMAL
FDU01,53.7,11.4,1.62,OK,NORMAL
FDU01,55.9,11.38,1.48,OK,NORMAL
FDU01,45.2,11.35,1.46,OK,NORMAL
FDU01,56.6,11.32,1.68,OK,NORMAL
FDU01,54.8,11.3,1.25,OK,NORMAL
FDU01,48.2,11.27,1.18,OK,NORMAL
FDU01,47.2,11.25,1.34,OK,NORMAL
FDU01,57.7,11.22,1.7,OK,NORMAL
FDU01,47.2,9.5,1.33,FAULT,CRITICAL
FDU01,42.3,9.5,1.43,FAULT,CRITICAL
FDU01,49.3,11.15,1.12,OK,NORMAL
FDU01,45.5,11.12,1.65,OK,NORMAL
FDU01,41.1,11.1,1.11,OK,NORMAL
FDU01,49.2,11.07,1.36,OK,NORMAL
FDU01,48.5,11.05,1.62,OK,NORMAL
FDU01,49.4,11.02,1.44,OK,NORMAL
FDU01,57.1,11.0,1.2,OK,NORMAL
FDU01,48.6,10.97,1.5,OK,NORMAL
FDU01,56.9,10.95,1.01,OK,NORMAL
FDU01,53.2,10.92,1.01,OK,NORMAL
FDU01,56.4,10.9,1.69,OK,NORMAL
FDU01,44.4,10.88,1.77,OK,NORMAL
FDU01,41.9,10.85,1.76,OK,NORMAL
FDU01,44.8,10.82,1.62,OK,NORMAL
FDU01,42.3,10.8,1.42,OK,NORMAL
FDU01,48.8,10.77,1.21,OK,NORMAL
FDU01,41.9,10.75,1.44,OK,NORMAL
FDU01,48.7,10.72,1.79,OK,NORMAL
